subject	glasses	component	bin	distance	offset
p2	smi	horizontal	20	5.307472187	-0.008696753
p2	smi	vertical	1	0.187391266	-3.662026137
p2	smi	vertical	2	0.189003332	-3.933176887
p2	smi	vertical	3	0.19065974	-3.795485472
p2	smi	vertical	4	0.195250047	-3.517951842
p2	smi	vertical	5	0.198684211	-3.226103307
p2	smi	vertical	6	0.202423905	-3.165390287
p2	smi	vertical	7	0.206749933	-2.982436897
p2	smi	vertical	8	0.215276472	-3.091849132
p2	smi	vertical	9	0.223276276	-2.880469487
p2	smi	vertical	10	0.240990582	-2.651644577
p2	smi	vertical	11	0.263688344	-2.508018922
p2	smi	vertical	12	0.315736771	-2.306748507
p2	smi	vertical	13	0.398118196	-2.172770577
p2	smi	vertical	14	0.541038166	-1.528386942
p2	smi	vertical	15	0.765914673	-1.020522677
p2	smi	vertical	16	1.028128489	-0.480083217
p2	smi	vertical	17	1.449399856	-0.127803692
p2	smi	vertical	18	2.134304278	0.233202073
p2	smi	vertical	19	3.288432226	0.410579123
p2	smi	vertical	20	5.307472187	0.637270203
p2	g2	horizontal	1	0.170985236	0.368368457
p2	g2	horizontal	2	0.176917945	0.381675787
p2	g2	horizontal	3	0.178825511	0.393592197
p2	g2	horizontal	4	0.185131084	0.333961587
p2	g2	horizontal	5	0.196534724	0.423307762
p2	g2	horizontal	6	0.202978938	0.446123702
p2	g2	horizontal	7	0.210594584	0.280978482
p2	g2	horizontal	8	0.218768631	-0.041961268
p2	g2	horizontal	9	0.227110579	0.122021397
p2	g2	horizontal	10	0.242248577	0.158782237
p2	g2	horizontal	11	0.267488849	0.034661907
p2	g2	horizontal	12	0.313232358	0.078611302
p2	g2	horizontal	13	0.391446103	0.064433707
p2	g2	horizontal	14	0.530314366	0.338942122
p2	g2	horizontal	15	0.730148542	0.107227227
p2	g2	horizontal	16	0.993884619	0.000217717
p2	g2	horizontal	17	1.411151482	0.067204782
p2	g2	horizontal	18	2.113350252	0.039451907
p2	g2	horizontal	19	3.297904488	0.002882287
p2	g2	horizontal	20	5.329076176	-0.090626563
p2	g2	vertical	1	0.170985236	-1.413907472
p2	g2	vertical	2	0.176917945	-0.583697967
