subject	glasses	distance	target	median_acc_x	median_acc_y
p5	vps	200	1	-2.342803	1.351256
p5	vps	200	2	-6.085584	0.699531
p5	vps	200	3	-1.20215	0.928819
p5	vps	200	4	-1.277348	0.925312
p5	vps	200	5	-0.934878	0.823129
p6	invisible	30	1	-6.38176	-1.441128
p6	invisible	30	2	-6.069154	-0.704752
p6	invisible	30	3	-6.064623	-1.614793
p6	invisible	30	4	-5.879906	-2.563811
p6	invisible	30	5	-5.554917	-1.155836
p6	invisible	200	1	0.675745	-2.092051
p6	invisible	200	2	0.780384	-1.179451
p6	invisible	200	3	1.341525	-1.910611
p6	invisible	200	4	0.815719	-2.05244
p6	invisible	200	5	0.554581	-1.747403
p6	neon	30	1	-0.206282	-2.836804
p6	neon	30	2	0.574321	-2.988283
p6	neon	30	3	-1.691633	-1.909396
p6	neon	30	4	0.055634	-3.77416
p6	neon	30	5	-0.444406	-1.719511
p6	neon	200	1	-0.962901	-0.710799
p6	neon	200	2	-0.551666	-0.953849
p6	neon	200	3	-0.47594	0.109982
p6	neon	200	4	-0.748703	-0.829859
p6	neon	200	5	-1.109057	-0.389916
p6	smi	30	1	-3.002641	1.953457
p6	smi	30	2	-0.479184	1.797544
p6	smi	30	3	-4.889528	1.71423
p6	smi	30	4	-0.744963	0.715562
p6	smi	30	5	-4.137828	2.777459
p6	smi	200	1	-1.971412	4.57333
p6	smi	200	2	0.044057	4.669311
p6	smi	200	3	-2.799777	4.826493
p6	smi	200	4	0.219735	3.469707
p6	smi	200	5	-3.962949	4.929895
p6	g2	30	1	0.073499	-0.379614
p6	g2	30	2	0.294923	-0.171045
p6	g2	30	3	0.28879	-0.710845
p6	g2	30	4	0.566617	0.118282
p6	g2	30	5	0.052908	0.101816
p6	g2	200	1	-0.077744	0.420982
p6	g2	200	2	0.507246	0.090305
p6	g2	200	3	0.250605	0.333043
p6	g2	200	4	0.775188	-0.091194
p6	g2	200	5	0.172057	0.753081
p6	g3	30	1	0.25675	-2.599011
p6	g3	30	2	0.475249	-2.402077
p6	g3	30	3	0.457159	-3.059284
p6	g3	30	4	0.272438	-2.109776
p6	g3	30	5	0.663168	-2.474506
p6	g3	200	1	0.29987	-1.507733
p6	g3	200	2	-0.171485	-1.592044
p6	g3	200	3	0.235373	-1.125067
p6	g3	200	4	0.181387	-0.276956
p6	g3	200	5	0.413787	-2.068606
p6	vps	30	1	-2.816941	-5.576706
p6	vps	30	2	-0.770123	-5.702771
p6	vps	30	3	-4.739333	-5.936737
p6	vps	30	4	-3.621355	-8.288592
p6	vps	30	5	-2.360305	-3.57851
p6	vps	200	1	-1.863023	-3.409842
p6	vps	200	2	-1.27738	-2.967397
p6	vps	200	3	-3.001799	-3.616931
p6	vps	200	4	-2.162352	-4.557871
p6	vps	200	5	-1.817868	-1.453471
p7	invisible	30	1	-4.499474	-0.171882
p7	invisible	30	2	-5.026608	0.345609
p7	invisible	30	3	-4.134747	-0.056136
p7	invisible	30	4	-4.185138	0.418374
p7	invisible	30	5	-5.328967	-0.541096
p7	invisible	200	1	1.276136	-0.36227
p7	invisible	200	2	0.116336	0.290824
p7	invisible	200	3	2.020169	-0.484997
p7	invisible	200	4	1.847589	0.517805
p7	invisible	200	5	0.950094	-0.60187
p7	neon	30	1	-0.482466	-1.313237
p7	neon	30	2	-0.875581	-1.690133
p7	neon	30	3	0.112107	-1.564664
p7	neon	30	4	-0.548944	-1.165538
p7	neon	30	5	-0.353091	-1.92591
p7	neon	200	1	-0.038378	-0.188797
p7	neon	200	2	-0.331278	-1.051857
p7	neon	200	3	0.089473	-0.934953
p7	neon	200	4	0.40486	0.197814
p7	neon	200	5	-0.658783	-1.374977
p7	smi	30	1	-1.53396	-2.812335
p7	smi	30	2	-0.907702	-2.616118
p7	smi	30	3	-2.181465	-2.716092
p7	smi	30	4	-1.946316	-2.37519
p7	smi	30	5	-1.076767	-3.622691
p7	smi	200	1	-2.096387	-0.177538
p7	smi	200	2	-1.550916	-0.197144
p7	smi	200	3	-2.595543	-0.055415
p7	smi	200	4	-2.430574	-0.182689
p7	smi	200	5	-1.610211	-1.456311
p7	g2	30	1	-0.589401	0.703158
p7	g2	30	2	-0.693773	1.462608
p7	g2	30	3	-0.262063	0.081914
p7	g2	30	4	-0.882491	1.324636
p7	g2	30	5	0.72289	-0.860282
p7	g2	200	1	-0.14538	1.250077
p7	g2	200	2	-1.863893	1.466792
p7	g2	200	3	-0.414685	1.191611
p7	g2	200	4	-0.303954	1.060275
p7	g2	200	5	-0.179245	1.700136
p7	g3	30	1	-0.521204	-1.230961
p7	g3	30	2	-0.66523	-0.66582
p7	g3	30	3	-0.514693	-0.787962
p7	g3	30	4	-0.516802	-1.34503
p7	g3	30	5	-0.512077	-0.75784
p7	g3	200	1	-0.406324	-0.137395
p7	g3	200	2	-0.297164	-0.134498
p7	g3	200	3	-0.586271	-0.46886
p7	g3	200	4	-0.325558	-0.207339
p7	g3	200	5	-0.369005	0.660109
p7	vps	30	1	-1.913621	-3.156008
p7	vps	30	2	-1.431824	-3.502151
p7	vps	30	3	-2.784876	-4.170887
p7	vps	30	4	-2.745532	-5.163211
p7	vps	30	5	-2.379018	-2.680218
p7	vps	200	1	-2.454335	-3.686958
p7	vps	200	2	-2.56028	-2.275364
p7	vps	200	3	-2.736872	-3.257049
p7	vps	200	4	-2.748785	-5.046676
p7	vps	200	5	-2.467295	-3.340499
p8	invisible	30	1	-3.609101	-2.000253
p8	invisible	30	2	-3.755494	-2.162523
p8	invisible	30	3	-4.62093	-2.580692
p8	invisible	30	4	-3.640516	-2.099484
p8	invisible	30	5	-3.97663	-1.792723
p8	invisible	200	1	3.324334	-1.728028
p8	invisible	200	2	2.764284	-1.14481
p8	invisible	200	3	3.583504	-1.438982
p8	invisible	200	4	4.259054	0.801084
p8	invisible	200	5	2.983889	-0.807099
p8	neon	30	1	-0.61704	-1.2566
p8	neon	30	2	-0.338868	-0.785557
p8	neon	30	3	-0.82371	-0.648003
p8	neon	30	4	-0.150985	-1.674682
p8	neon	30	5	-1.302255	-0.363544
p8	neon	200	1	-0.744339	1.678611
p8	neon	200	2	-1.390276	0.511053
p8	neon	200	3	-0.793257	0.596944
p8	neon	200	4	-1.417452	0.734287
p8	neon	200	5	-0.762962	2.616192
p8	smi	30	1	-0.051972	-1.270146
p8	smi	30	2	1.229915	-1.318306
p8	smi	30	3	-1.133698	-1.187098
p8	smi	30	4	-0.023209	-2.942691
p8	smi	30	5	-0.176855	-0.669204
p8	smi	200	1	-0.410026	1.709546
p8	smi	200	2	-0.045211	1.566401
p8	smi	200	3	-0.846702	1.890739
p8	smi	200	4	-0.396941	1.236144
p8	smi	200	5	-0.392355	1.495768
p8	g2	30	1	-1.481828	1.359195
p8	g2	30	2	-2.145653	0.850626
p8	g2	30	3	-0.713467	0.38761
p8	g2	30	4	-1.390232	1.324996
p8	g2	30	5	0.357331	-1.435839
p8	g2	200	1	-1.076673	1.241342
p8	g2	200	2	-0.485058	1.756802
p8	g2	200	3	-0.767919	0.337563
p8	g2	200	4	-1.022318	1.472298
p8	g2	200	5	-1.528735	0.720356
p8	g3	30	1	-0.958356	-1.553363
p8	g3	30	2	-0.619136	-1.292284
p8	g3	30	3	-0.81109	-1.709359
p8	g3	30	4	-0.974099	-2.462477
p8	g3	30	5	-0.271551	-0.663996
p8	g3	200	1	-0.555744	-0.540425
p8	g3	200	2	-0.416283	-0.315467
p8	g3	200	3	-0.599575	-0.988643
p8	g3	200	4	-0.896565	-1.607191
p8	g3	200	5	-0.121679	-0.424946
p8	vps	30	1	-1.729516	-4.898014
